split,variant,auc,eer,acc_0.5,acc_val_threshold,val_threshold,val_acc_at_threshold
ffpp,raw,0.9997852848554251,0.006076438591468626,0.9929701230228472,0.9938488576449912,0.5545519590377808,0.96875
ffpp,feature_norm,0.9997781276839393,0.005575436587460637,0.9929701230228472,0.9929701230228472,0.5183775424957275,0.9690625071525574
cdf,raw,0.8397341127234681,0.2409788245462403,0.9215413184772516,0.9224698235840297,0.5545519590377808,0.96875
cdf,feature_norm,0.8615179911749988,0.22344254651321477,0.9192200557103064,0.9233983286908078,0.5183775424957275,0.9690625071525574
dfd,raw,0.8478657775046319,0.2450618082623064,0.6984543598716827,0.6640419947506562,0.5545519590377808,0.96875
dfd,feature_norm,0.8359372051775539,0.25644229162286447,0.73694954797317,0.6695829687955672,0.5183775424957275,0.9690625071525574
