split,variant,auc,eer,acc_0.5,acc_val_threshold,val_threshold,val_acc_at_threshold
ffpp,raw,0.9997852848554252,0.006076438591468626,0.9947275922671354,0.9964850615114236,0.5227574110031128,0.9606249928474426
ffpp,feature_norm,0.9997924420269109,0.006076438591468626,0.9947275922671354,0.9912126537785588,0.538557231426239,0.9609375
cdf,raw,0.8290838375108038,0.2699529181640358,0.9224698235840297,0.9233983286908078,0.5227574110031128,0.9606249928474426
cdf,feature_norm,0.8365725788108993,0.254693968066233,0.924791086350975,0.9206128133704735,0.538557231426239,0.9609375
dfd,raw,0.8170083686895642,0.28407810537324857,0.5838436862058909,0.5710119568387285,0.5227574110031128,0.9606249928474426
dfd,feature_norm,0.8087888312047713,0.2889529524025165,0.5453484981044037,0.4079906678331875,0.538557231426239,0.9609375
