split,variant,auc,eer,acc_0.5,acc_val_threshold,val_threshold,val_acc_at_threshold
ffpp,raw,0.9997995991983968,0.006076438591468626,0.9956063268892794,0.9938488576449912,0.7204688787460327,0.9731249809265137
ffpp,feature_norm,0.9998353850558259,0.008080446607500692,0.9947275922671354,0.992091388400703,0.5461146831512451,0.971875011920929
cdf,raw,0.7992170085975527,0.26820725105763543,0.9210770659238626,0.9155060352831941,0.7204688787460327,0.9731249809265137
cdf,feature_norm,0.8223968521129963,0.26132409134331075,0.9201485608170845,0.9155060352831941,0.5461146831512451,0.971875011920929
dfd,raw,0.8287168069235318,0.2676596960532204,0.5675123942840479,0.44036162146398367,0.7204688787460327,0.9731249809265137
dfd,feature_norm,0.8138357422292665,0.27570582178303227,0.6092155147273257,0.42927967337416156,0.5461146831512451,0.971875011920929
