split,variant,auc,eer,acc_0.5,acc_val_threshold,val_threshold,val_acc_at_threshold
ffpp,raw,0.9991626109361581,0.014156885198969373,0.9876977152899824,0.9885764499121266,0.6687919497489929,0.9559375047683716
ffpp,feature_norm,0.9991482965931864,0.015158889206985406,0.9876977152899824,0.9885764499121266,0.5219805836677551,0.9571874737739563
cdf,raw,0.8264880816994951,0.2636014192785334,0.9206128133704735,0.9229340761374187,0.6687919497489929,0.9559375047683716
cdf,feature_norm,0.8423696720192877,0.24401526179320387,0.9201485608170845,0.9206128133704735,0.5219805836677551,0.9571874737739563
dfd,raw,0.8172329953151871,0.2696894222423488,0.6777486147564887,0.5855934674832313,0.6687919497489929,0.9559375047683716
dfd,feature_norm,0.8067213677425383,0.2775724690419584,0.689413823272091,0.605132691746865,0.5219805836677551,0.9571874737739563
