split,variant,auc,eer,acc_0.5,acc_val_threshold,val_threshold,val_acc_at_threshold
ffpp,raw,0.999749498997996,0.002004008016032066,0.9964850615114236,0.9964850615114236,0.42464110255241394,0.9746875166893005
ffpp,feature_norm,0.9997781276839394,0.002004008016032066,0.9964850615114236,0.9964850615114236,0.5006198287010193,0.973437488079071
cdf,raw,0.832808306418596,0.2407257881089933,0.9220055710306406,0.9206128133704735,0.42464110255241394,0.9746875166893005
cdf,feature_norm,0.845676204339717,0.20843663285265887,0.9210770659238626,0.9210770659238626,0.5006198287010193,0.973437488079071
dfd,raw,0.799195477277669,0.29699907813232845,0.48410615339749197,0.5243511227763197,0.42464110255241394,0.9746875166893005
dfd,feature_norm,0.7885922020417662,0.2993549621818613,0.5176436278798483,0.515893846602508,0.5006198287010193,0.973437488079071
